Word,SS,Lw,Ec,Ci,At,Li,EE,ME,Sp,Me,mean,,,
computational,0.837031782,0.679856539,0.565101087,0.591654003,0.648983896,0.724257469,0.837935686,0.737202406,0.666423738,0.646096885,0.693454349,,,
scientific,0.82184124,0.633370399,0.625627697,0.51459223,0.689476728,0.602136254,0.753653944,0.712269008,0.700226009,0.624124467,0.667731798,,,
make,0.532460809,0.351801127,0.361546189,0.29838717,0.418409914,0.39111799,0.359136194,0.435018122,0.375900626,0.33489874,0.385867688,,,
master,0.685393929,0.652779639,0.496593565,0.594060838,0.544279695,0.355079144,0.712288797,0.709778845,0.385391265,0.599693239,0.573533896,,,
implementation,0.48603183,0.466218621,0.411601067,0.348492801,0.564705551,0.417489141,0.587973893,0.402339131,0.361594141,0.447910964,0.449435714,,,
computation,0.715319335,0.494173467,0.416474551,0.335496426,0.565263927,0.63292408,0.833011031,0.719352961,0.433604449,0.462799549,0.560841978,,,
link,0.621756732,0.480386496,0.467345238,0.428067386,0.496228456,0.470568448,0.50788933,0.516679227,0.397465169,0.464910239,0.485129672,,,
department,0.81507659,0.53460139,0.526978731,0.447594494,0.590403795,0.597858489,0.787418306,0.800165832,0.574971557,0.694844604,0.636991379,,,
point,0.403593302,0.250622064,0.194233611,0.197385117,0.197140485,0.33710444,0.347308874,0.414637625,0.235736489,0.296430081,0.287419209,,,
given,0.400513619,0.310466796,0.282985985,0.249201164,0.263020784,0.333798081,0.358777046,0.409060776,0.187080547,0.247564703,0.30424695,,,
modern,0.592731714,0.40906617,0.379666924,0.348280311,0.312820792,0.395417005,0.524821401,0.460502476,0.422321439,0.438967735,0.428459597,,,
company,0.771373749,0.646958113,0.669891477,0.519960999,0.603983581,0.632188618,0.650909245,0.695321202,0.617517233,0.655893564,0.646399778,,,
concept,0.546442449,0.444121391,0.430915207,0.411101997,0.481879205,0.415319264,0.591453075,0.487101942,0.267328948,0.433898121,0.45095616,,,
business,0.801144063,0.648133516,0.603779912,0.548834443,0.709876478,0.669128656,0.706740737,0.734339058,0.58157593,0.706382692,0.670993549,,,
library,0.721334517,0.571143568,0.621113837,0.586241007,0.657299936,0.616274655,0.709116459,0.696430445,0.590096593,0.650420547,0.641947156,,,
operating,0.699174941,0.516168416,0.308071405,0.316397518,0.671222806,0.393856943,0.714133561,0.564612806,0.365445197,0.412974238,0.496205783,,,
usually,0.53587389,0.414447486,0.2881383,0.359079391,0.426919818,0.431639999,0.594575226,0.612400949,0.465316176,0.475154489,0.460354573,,,
bachelor,0.945069313,0.895115137,0.746212125,0.857322454,0.77463007,0.705011785,0.939149141,0.931869745,0.790967524,0.841692805,0.84270401,,,
communication,0.783957243,0.590627611,0.551357567,0.445242345,0.554959595,0.613083959,0.711463511,0.706551194,0.52732861,0.630270123,0.611484176,,,
law,0.762479901,0.42938906,0.589512408,0.539724946,0.593761206,0.640987456,0.7151559,0.701589167,0.580208719,0.724526286,0.627733505,,,
high,0.711093307,0.531377017,0.532155752,0.533100069,0.420963466,0.566604316,0.552114189,0.579409957,0.50156498,0.599210978,0.552759403,,,
even,0.512467623,0.382373482,0.319510341,0.392118752,0.423493862,0.367934763,0.474723399,0.455969959,0.376133889,0.387323648,0.409204972,,,
people,0.633325219,0.563999534,0.565216541,0.466585487,0.599249601,0.549654543,0.583043456,0.648281157,0.593808532,0.555238485,0.575840256,,,
hardware,0.818276942,0.639940023,0.593299091,0.458314687,0.758025527,0.532785416,0.895291388,0.774576724,0.608580947,0.490064472,0.656915522,,,
version,0.479233325,0.372119784,0.260293245,0.338831216,0.541919887,0.390250772,0.518283904,0.465092897,0.352157205,0.354714483,0.407289672,,,
following,0.297973245,0.204998925,0.266832113,0.216225237,0.268148631,0.333086461,0.294179499,0.309201777,0.210661605,0.206961691,0.260826918,,,
resource,0.749344826,0.661062837,0.616158426,0.596068561,0.662379384,0.621474266,0.746250033,0.714099944,0.603788793,0.657871127,0.66284982,,,
became,0.536637783,0.425611347,0.364512116,0.382025808,0.329638004,0.470890135,0.45312804,0.457547873,0.331516534,0.451385409,0.420289305,,,
possible,0.588539243,0.450869739,0.328453511,0.315691471,0.43561241,0.437139809,0.53308934,0.445977986,0.382840723,0.390880615,0.430909485,,,
public,0.672390521,0.500503659,0.482385546,0.488343537,0.471025884,0.492044568,0.580303252,0.634656608,0.505286634,0.612675309,0.543961552,,,
professor,0.824077308,0.77559942,0.712128818,0.662970185,0.698933125,0.703210235,0.838790357,0.850805998,0.70969522,0.777027249,0.755323792,,,
input,0.599429965,0.554958701,0.34778899,0.382573783,0.719207287,0.654375911,0.782839179,0.690498233,0.497573197,0.535281718,0.576452696,,,
journal,0.834833264,0.618446112,0.679522574,0.537510157,0.651502013,0.667783201,0.815804839,0.781651437,0.719575882,0.810492277,0.711712176,,,
large,0.516996682,0.468256563,0.397603244,0.405242085,0.442397982,0.424221784,0.480423957,0.489558458,0.394009769,0.412903637,0.443161416,,,
intelligence,0.80994457,0.601667464,0.538604617,0.516487896,0.582301199,0.528532386,0.706958711,0.763714552,0.552343905,0.500588238,0.610114354,,,
need,0.637731433,0.490254551,0.523941278,0.46220845,0.524558246,0.528980076,0.623590589,0.609181523,0.49399665,0.453283519,0.534772632,,,
game,0.70400995,0.641514003,0.614155352,0.572733164,0.672776103,0.675855875,0.67234683,0.677016556,0.435359389,0.705012262,0.637077948,,,
academic,0.821965337,0.677213788,0.573993444,0.619964123,0.571358919,0.611080825,0.741149127,0.773115098,0.687619567,0.753935754,0.683139598,,,
course,0.800556421,0.602414966,0.417686224,0.514999092,0.57273376,0.635546803,0.775688052,0.791374683,0.555527747,0.661503077,0.632803082,,,
node,0.840865016,0.745191991,0.481055051,0.496994555,0.630494177,0.601281464,0.725448668,0.736251056,0.616279721,0.731788278,0.660564998,,,
feature,0.478829771,0.410229295,0.192261472,0.334710032,0.353003263,0.350470662,0.457024157,0.388210386,0.347160012,0.371070892,0.368296994,,,
source,0.502157807,0.33769539,0.398746431,0.320027471,0.428102493,0.409770072,0.474808693,0.431154817,0.349123299,0.355689615,0.400727609,,,
interface,0.742554307,0.684048295,0.432996213,0.578602314,0.766361833,0.626205325,0.798072517,0.675556064,0.585424244,0.55633378,0.644615489,,,
must,0.601997256,0.535957932,0.458211899,0.504204571,0.50997889,0.485121191,0.59310627,0.586207509,0.507659137,0.552132666,0.533457732,,,
various,0.54053688,0.374528915,0.323603094,0.294031203,0.349994183,0.464859426,0.479425162,0.467212826,0.44685483,0.429565281,0.41706118,,,
john,0.699579895,0.593969166,0.677746713,0.514524758,0.578024566,0.578974485,0.768850625,0.694338858,0.585806251,0.654956162,0.634677148,,,
processing,0.66805321,0.560332596,0.272262365,0.402174741,0.564187765,0.561169863,0.733529866,0.679038286,0.482981294,0.470625758,0.539435574,,,
change,0.711554945,0.470057756,0.480847299,0.475033492,0.528420568,0.49113062,0.515119791,0.523894548,0.354586244,0.473157465,0.502380273,,,
word,0.630167246,0.533271551,0.488101929,0.371003538,0.500588238,0.450611562,0.612599909,0.553265095,0.485301465,0.499576062,0.51244866,,,
array,0.504973531,0.522516489,0.258615971,0.167321667,0.47508052,0.27859059,0.703350782,0.550215065,0.314731985,0.280754179,0.405615078,,,
art,0.836383522,0.734703183,0.671529651,0.70028621,0.468380839,0.657062948,0.825827122,0.809809208,0.732365251,0.793194771,0.72295427,,,
tree,0.661393046,0.597303331,0.452747524,0.351520777,0.51884079,0.427638888,0.732774436,0.690580308,0.431770414,0.570398629,0.543496814,,,
power,0.538437128,0.440958172,0.493856192,0.437302321,0.401302159,0.470721543,0.533884168,0.544953346,0.417023718,0.397635013,0.467607376,,,
applied,0.705511093,0.304631829,0.288803846,0.187863737,0.382920265,0.353999585,0.594331503,0.672839105,0.388964236,0.503675282,0.438354048,,,
ibm,0.83637315,0.715205729,0.606886685,0.584485888,0.715589821,0.735165656,0.849866629,0.750996947,0.628192425,0.605938256,0.702870119,,,
unit,0.554700136,0.409504652,0.311360061,0.299436688,0.423786849,0.464107066,0.561570406,0.535998106,0.318228215,0.39728722,0.42759794,,,
natural,0.728556454,0.498682797,0.468786895,0.451350152,0.441436857,0.549201369,0.635175169,0.545033038,0.445283502,0.44357124,0.520707747,,,
task,0.631168127,0.610360861,0.476554275,0.435298473,0.493021637,0.48589927,0.757078648,0.715499461,0.346173853,0.487886161,0.543894076,,,
approach,0.670743704,0.449751824,0.429794073,0.299235821,0.548805833,0.517311513,0.559319794,0.615234971,0.466077656,0.5740785,0.513035369,,,
without,0.453722924,0.325029731,0.392467439,0.353366315,0.383896142,0.403842419,0.502259731,0.474711448,0.292548507,0.351507157,0.393335181,,,
external,0.536779106,0.403768361,0.431383163,0.461735129,0.479051858,0.457378864,0.534243405,0.490295649,0.400459975,0.431326747,0.462642226,,,
single,0.451848269,0.391452014,0.139872134,0.270412564,0.310631424,0.377631843,0.385193169,0.408543825,0.315581322,0.271909684,0.332307625,,,
storage,0.697175741,0.635894597,0.453458756,0.486100703,0.613180935,0.555678606,0.807587981,0.652204633,0.608539402,0.567764163,0.607758552,,,
knowledge,0.81773895,0.497469574,0.62847352,0.529081285,0.611763477,0.590023041,0.748530209,0.698667586,0.569504738,0.529286206,0.622053859,,,
society,0.769749284,0.566445529,0.563305199,0.627460063,0.539868414,0.634017467,0.751150191,0.730763018,0.642798841,0.679975629,0.650553364,,,
mean,0.574620903,0.309259027,0.332173467,0.399479777,0.41207397,0.359079152,0.476574749,0.500085711,0.366062343,0.378331721,0.410774082,,,
typically,0.617731035,0.488352209,0.321403623,0.399692714,0.483589053,0.483925164,0.6409477,0.571549654,0.509315789,0.468244046,0.498475099,,,
available,0.604409695,0.352137893,0.32271564,0.402736425,0.495292664,0.469582796,0.567225218,0.491945118,0.413954169,0.52478534,0.464478496,,,
