Word,Mean similarity all domains,Mean similarity except SS,Mean similarity except Lw,Mean similarity except Ec,Mean similarity except Ci,Mean similarity except At,Mean similarity except Li,Mean similarity except EE,Mean similarity except ME,Mean similarity except Sp,Mean similarity except Me
longer,0.2952474236488342,0.2952474236488342,0.2994761864344279,0.3058093885580699,0.29525172379281783,0.2960660027133094,0.2917141417662303,0.2857181661658817,0.28592277897728813,0.3045998447471195,0.2949500348832872
start,0.29749478548765185,0.29749478548765185,0.2963213307989968,0.3090571595562829,0.3043111198478275,0.30300692717234295,0.29197755952676135,0.2958669877714581,0.3004088881942961,0.30736040903462303,0.2893162618080775
like,0.2980335757136345,0.2980335757136345,0.2965233276287715,0.3088706135749817,0.30333197944694096,0.2952738487058216,0.29617734915680355,0.3001479059457779,0.29352164102925193,0.3031533774402406,0.2992483625809352
call,0.298749590665102,0.298749590665102,0.3002911615702841,0.3183680574099223,0.30366355925798416,0.3009095928735203,0.30070669535133576,0.2853979708419906,0.2880094324549039,0.2973373673028416,0.30334677050511044
hold,0.3011861592531204,0.3011861592531204,0.297630379597346,0.30670683251486885,0.3106964925924937,0.30775688423050773,0.30584655536545646,0.2957463165124257,0.2911517520745595,0.30330926179885864,0.30049999554951984
separate,0.3013556569814682,0.3013556569814682,0.2910693718327416,0.3178388509485457,0.31566565732161206,0.3036211265458001,0.30613257156478035,0.29034586085213554,0.29248608814345467,0.3134274333715439,0.2977030807071262
based,0.30272250026464465,0.30272250026464465,0.301754472984208,0.30920520590411293,0.3111797057920032,0.2973671340280109,0.29619330002201927,0.3040521658129162,0.2994515548149745,0.31917107436392045,0.3049186451567544
according,0.30375306904315946,0.30375306904315946,0.311725945936309,0.30203814970122445,0.30885423885451424,0.32042300204435986,0.2994816137684716,0.2992405825191074,0.2947663598590427,0.29875199331177604,0.3066909478770362
given,0.3042469501495361,0.3042469501495361,0.3035558561484019,0.30660927957958645,0.31036314864953357,0.30882763531472945,0.30096349120140076,0.298188050587972,0.29260096947352093,0.31726543936464524,0.31054497758547467
instead,0.3046804994344711,0.3046804994344711,0.3099183506435818,0.3150012079212401,0.31404267251491547,0.2992231514718797,0.3028017083803813,0.29859956436687046,0.29091787338256836,0.32090893056657577,0.30139730042881435
replaced,0.3050890862941742,0.3050890862941742,0.3112131439977222,0.312345403763983,0.3102060721980201,0.31156225833627915,0.3089312149418725,0.2893670399983724,0.2924280001057519,0.305635670820872,0.3160647733343972
seen,0.3050933346152306,0.3050933346152306,0.3074997282690472,0.30337001714441514,0.30292844275633496,0.30056793987751007,0.31259279946486157,0.3002794798877504,0.30305998689598507,0.3116939547989104,0.3151569465796153
whole,0.305308598279953,0.305308598279953,0.3020484149456024,0.3208988491031859,0.31138250562879777,0.3041451440917121,0.30464044213294983,0.30679553416040206,0.29961008164617753,0.31588545938332874,0.3074786000781589
give,0.3054878294467926,0.3054878294467926,0.31400883694489795,0.30622759461402893,0.314129791325993,0.30589889486630756,0.30298253893852234,0.3013758526908027,0.29289384020699394,0.309439029958513,0.3098076317045424
note,0.30610205233097076,0.30610205233097076,0.31750333805878955,0.30493931969006854,0.3012379573451148,0.30925830867555404,0.31313522160053253,0.3019345634513431,0.2968538569079505,0.30839651160769993,0.3117903537220425
associated,0.30775643289089205,0.30775643289089205,0.31152020229233635,0.3257588595151901,0.31816071768601734,0.3136701550748613,0.304222928153144,0.3013317618105147,0.29982885387208724,0.3031710618072086,0.30710718366834855
short,0.3089558482170105,0.3089558482170105,0.3120904200606876,0.32590318553977543,0.31904737485779655,0.29709602726830375,0.29594305488798356,0.2998853756321801,0.3070088525613149,0.3156111190716426,0.3182571828365326
considered,0.30942081063985827,0.30942081063985827,0.31835826734701794,0.3225504822201199,0.31124333706167007,0.30601120822959477,0.3102044579055574,0.3027709871530533,0.3023579667011897,0.3109100941154692,0.311971527006891
shown,0.3119635030627251,0.3119635030627251,0.31550996336672044,0.3238305648167928,0.31854842272069717,0.317046786348025,0.3120029220978419,0.30718887680106693,0.30194273425473106,0.3184650656249788,0.3149780680735906
intended,0.3122034057974815,0.3122034057974815,0.323582680688964,0.32686620122856563,0.3272147277990977,0.3059559282329347,0.3068422128756841,0.30150500105486977,0.30514806343449485,0.31732627915011513,0.31280665430757737
several,0.31264097839593885,0.31264097839593885,0.3150092313687007,0.32231902745034957,0.3173401306072871,0.31576768391662174,0.30228525234593284,0.3097929143243366,0.30586120320691,0.31885356538825566,0.3105534033642875
referred,0.3128119334578514,0.3128119334578514,0.3237534099155002,0.32796796494060093,0.3110985904932022,0.30847706231806016,0.3213198367092345,0.2943627784649531,0.2980065925253762,0.32273130615552265,0.3175362033976449
direct,0.3131092503666878,0.3131092503666878,0.31610000961356693,0.306167365776168,0.327627526389228,0.3228472371896108,0.3031488640440835,0.3062642498148812,0.3039369798368878,0.3351838108566072,0.3207402361763848
instance,0.31444716155529023,0.31444716155529023,0.31734417544470894,0.3228785776429706,0.3289026700788074,0.31033362282647026,0.3190997276041243,0.3072589635848999,0.30544282661543953,0.31610259744856095,0.3178954025109609
key,0.315276974439621,0.315276974439621,0.31486309899224174,0.330960633026229,0.3339799576335483,0.32569543023904163,0.32055405113432145,0.29691363705529106,0.2899399267302619,0.3223394188616011,0.3159704804420471
fact,0.31586914211511613,0.31586914211511613,0.3114864644077089,0.3224397715595033,0.3144457886616389,0.32131912145349717,0.3202960408396191,0.31629229419761234,0.30910346739821964,0.3200949976841609,0.32563144630855984
